word	greedy	greedy_adv	simple
ABDRUECKT	2	2	2
ABMUSTERN	2	1	1
ABGEREIST	2	2	1
ABBRAUSEN	2	1	1
ABGEWINKT	2	1	1
ABSENDEND	2	2	1
ABSPRICHT	2	2	2
ABSTINENZ	2	2	2
ABTEILBAR	2	2	1
ABTEILUNG	2	2	2
ABNEHMERS	2	2	1
ACHTLOSES	2	2	2
ABERMALIG	2	1	1
ABSTRAKTE	2	2	2
ABSTAMMEN	2	2	3
AKTIVSTEN	2	2	2
AEFFENDES	2	2	1
ABRATENDE	2	2	2
ABTEILEND	2	2	3
ANKERNDES	2	1	3
ADMIRALEN	2	1	1
ABSENDUNG	2	2	1
AFFENGEIL	2	2	1
ABDANKTEN	2	2	2
ANSTEIGEN	2	2	2
ALTPAPIER	2	2	2
ANKLAEGER	1	2	2
ANSTRICHE	1	1	1
AMPUTIERE	2	1	2
ABWERBUNG	2	2	1
AKKORDEON	2	2	1
AHNDENDEM	2	1	2
APRIKOSEN	2	1	1
ANZEICHEN	2	2	2
ANBETERIN	1	2	2
ABHOLENDE	2	2	2
ANZUSEHEN	2	2	2
AKTIVEREN	2	2	1
ANGEDREHT	2	2	1
ARCHIPELE	2	2	2
ANGEHOERT	2	2	2
ASIENZONE	2	2	2
ABTRAGEND	2	2	2
AUFTRAGES	2	1	2
ANFASSEND	2	2	2
ABWESENDE	2	2	2
AUSDREHEN	1	1	1
AUKTIONEN	2	1	2
AUFGEREGT	2	1	1
AUFTRIEBE	2	1	1
AERZTLICH	2	2	1
AUFBIEGEN	2	2	3
ANZUGEBEN	2	2	2
APFELSINE	2	2	1
ABTRETEND	3	2	2
AUFLESEND	2	2	2
AUFHOLTEN	2	2	2
ANGEZAHLT	2	2	3
AUSBILDEN	2	2	2
ANIMIERST	1	1	1
AUSSPUCKT	2	2	2
ANGEGEBEN	2	2	2
AUTOMARKT	2	2	2
AUFKLEBER	2	1	2
AUSSEHEND	2	2	2
AUSHECKEN	2	2	3
ANNAEHERT	3	2	1
ANTRETEND	3	2	2
BEFRISTET	2	1	1
AUSSERDEM	2	1	2
ANKOMMEND	2	2	2
AUFPUTZES	2	1	2
ANGEMALTE	2	2	2
ABRUECKEN	2	2	2
ANMUTIGEM	1	1	2
AUFWACHEN	2	2	4
BANDAGIST	1	2	1
AUFHEBBAR	2	1	1
